City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Baykit,68,RU,03/14/19,86,61.68,96.39,29.94,10.2
Vaini,0,IN,03/14/19,65,15.34,74.49,70.75,2.82
Omboue,36,GA,03/14/19,100,-1.57,9.26,80.07,1.59
Busselton,0,AU,03/14/19,42,-33.64,115.35,64.99,11.43
Broken Hill,0,AU,03/14/19,27,-31.97,141.45,62.6,1.12
Magadan,0,RU,03/14/19,100,59.56,150.8,6.18,3.27
Albany,40,US,03/14/19,37,42.65,-73.75,59.0,12.75
Marzuq,0,YE,03/14/19,63,14.4,46.47,64.59,4.83
Rikitea,100,PF,03/14/19,100,-23.12,-134.97,75.34,17.36
Cape Town,0,ZA,03/14/19,73,-33.93,18.42,70.0,13.87
Yellowknife,20,CA,03/14/19,71,62.45,-114.38,12.0,11.41
Bluff,24,AU,03/14/19,86,-23.58,149.07,71.74,5.28
Dikson,88,RU,03/14/19,96,73.51,80.55,6.0,19.82
Atar,0,MR,03/14/19,10,20.52,-13.05,86.77,11.43
Saskylakh,0,RU,03/14/19,30,71.97,114.09,-21.01,10.42
Itamaraca,40,BR,03/14/19,79,-7.75,-34.83,86.0,11.41
Atuona,20,PF,03/14/19,100,-9.8,-139.03,82.09,15.46
Tuatapere,0,NZ,03/14/19,92,-46.13,167.69,43.0,1.01
Hobart,40,AU,03/14/19,76,-42.88,147.33,55.0,8.05
Nyurba,88,RU,03/14/19,71,63.29,118.35,10.54,5.39
Oum Hadjer,0,TD,03/14/19,35,13.3,19.7,84.48,4.16
Sabzevar,32,IR,03/14/19,49,36.21,57.68,46.9,4.94
Kapaa,40,US,03/14/19,73,22.08,-159.32,75.2,9.17
Hamilton,75,CA,03/14/19,93,43.26,-79.87,45.0,6.93
Mataura,0,NZ,03/14/19,92,-46.19,168.86,43.0,1.01
Ponta do Sol,32,BR,03/14/19,100,-20.63,-46.0,73.72,6.62
Saint-Philippe,90,CA,03/14/19,92,45.36,-73.48,48.2,11.41
East London,92,ZA,03/14/19,100,-33.02,27.91,73.72,5.84
Eskisehir,40,TR,03/14/19,81,39.78,30.52,45.0,2.24
Riyadh,75,SA,03/14/19,23,24.63,46.72,82.4,8.05
Hilo,90,US,03/14/19,88,19.71,-155.08,69.01,12.75
Semirom,24,IR,03/14/19,76,31.41,51.57,23.55,2.15
Tupik,8,RU,03/14/19,68,54.43,119.94,5.37,4.38
Voh,80,NC,03/14/19,100,-20.95,164.69,77.1,8.41
Aranos,68,NA,03/14/19,28,-24.14,19.11,82.99,3.27
Alnashi,20,RU,03/14/19,84,56.18,52.48,20.49,9.42
Coihaique,75,CL,03/14/19,45,-45.58,-72.07,62.6,2.24
Nome,75,US,03/14/19,27,30.04,-94.42,79.0,13.87
Kodiak,90,US,03/14/19,93,39.95,-94.76,39.99,18.34
Punta Arenas,40,CL,03/14/19,59,-53.16,-70.91,60.8,16.11
Panjakent,0,UZ,03/14/19,46,39.5,67.61,53.6,4.7
Ulaanbaatar,40,MN,03/14/19,66,47.92,106.92,14.0,2.24
Ushuaia,0,AR,03/14/19,54,-54.81,-68.31,57.2,9.17
Vicksburg,40,US,03/14/19,82,32.35,-90.88,77.0,8.05
Mahebourg,40,MU,03/14/19,78,-20.41,57.7,78.8,5.82
Tevaitoa,56,PF,03/14/19,100,-16.78,-151.5,80.92,11.77
Luderitz,12,NA,03/14/19,80,-26.65,15.16,64.5,14.56
Cam Ranh,20,VN,03/14/19,94,11.92,109.15,77.0,1.12
Kota Kinabalu,75,MY,03/14/19,88,5.98,116.07,77.0,2.24
Qaanaaq,24,GL,03/14/19,100,77.48,-69.36,-12.86,9.75
Antalaha,64,MG,03/14/19,95,-14.9,50.28,78.27,8.19
Sisimiut,0,GL,03/14/19,84,66.94,-53.67,2.22,2.04
Norman Wells,75,CA,03/14/19,77,65.28,-126.83,3.2,5.82
Kahului,20,US,03/14/19,73,20.89,-156.47,70.0,3.36
Acapulco,5,MX,03/14/19,74,16.86,-99.88,84.2,9.17
Kikwit,20,CD,03/14/19,86,-5.04,18.82,81.19,2.37
Encheng,92,CN,03/14/19,84,22.74,107.09,59.55,8.41
Avarua,56,CK,03/14/19,78,-21.21,-159.78,80.6,16.11
Monrovia,20,LR,03/14/19,70,6.33,-10.8,87.8,12.75
Gimli,76,CA,03/14/19,64,50.63,-96.99,34.0,21.0
Fort-Shevchenko,8,KZ,03/14/19,95,44.51,50.26,38.26,13.22
Pangai,40,TO,03/14/19,88,-19.8,-174.35,78.8,12.75
Jacareacanga,40,BR,03/14/19,62,-6.22,-57.76,89.6,4.7
Hithadhoo,0,MV,03/14/19,100,-0.6,73.08,83.89,1.7
Hasaki,0,JP,03/14/19,55,35.73,140.83,37.4,4.7
Bethel,90,US,03/14/19,92,60.79,-161.76,28.4,13.87
Udachnyy,76,RU,03/14/19,79,66.42,112.4,9.42,4.94
Hermanus,0,ZA,03/14/19,84,-34.42,19.24,75.0,8.99
Port Alfred,88,ZA,03/14/19,95,-33.59,26.89,68.0,3.94
Barrow,32,AR,03/14/19,71,-38.31,-60.23,71.43,10.42
Tasiilaq,90,GL,03/14/19,85,65.61,-37.64,24.8,3.36
Vila Franca do Campo,75,PT,03/14/19,58,37.72,-25.43,59.0,12.75
Adrar,0,DZ,03/14/19,9,27.87,-0.29,82.4,10.29
Manadhoo,0,MV,03/14/19,97,5.77,73.38,84.52,7.96
Balabac,8,PH,03/14/19,100,7.99,117.06,80.88,8.3
Lamu,56,ID,03/14/19,100,0.57,122.3,71.97,3.27
Ribeira Grande,40,PT,03/14/19,67,38.52,-28.7,62.6,11.41
Fairbanks,1,US,03/14/19,62,64.84,-147.72,33.01,8.05
Jamestown,0,AU,03/14/19,79,-33.21,138.6,45.78,5.61
Kabalo,68,CD,03/14/19,86,-6.05,26.92,74.26,9.64
Piro,92,IN,03/14/19,69,25.33,84.41,71.52,14.23
Lesnoye,0,RU,03/14/19,82,51.57,42.77,21.99,5.06
Sechura,8,PE,03/14/19,67,-5.56,-80.82,84.34,8.19
Tuktoyaktuk,90,CA,03/14/19,75,69.44,-133.03,-14.81,20.8
Upernavik,64,GL,03/14/19,100,72.79,-56.15,-0.67,2.15
Lebu,12,ET,03/14/19,66,8.96,38.73,57.25,5.39
Liepaja,88,LV,03/14/19,93,56.52,21.02,39.2,11.41
Gazanjyk,8,TM,03/14/19,52,39.24,55.52,52.3,5.73
Opuwo,48,NA,03/14/19,67,-18.06,13.84,73.45,2.82
Egvekinot,76,RU,03/14/19,66,66.32,-179.17,-5.66,7.18
Kyabram,0,AU,03/14/19,68,-36.31,145.05,57.99,12.21
Mar del Plata,92,AR,03/14/19,81,-46.43,-67.52,59.82,15.57
Sao Filipe,0,CV,03/14/19,77,14.9,-24.5,76.6,12.77
Mpraeso,32,GH,03/14/19,76,6.6,-0.73,81.6,3.71
Lubao,75,PH,03/14/19,65,14.94,120.6,81.0,6.93
Ixtapa,20,MX,03/14/19,69,20.71,-105.21,79.0,6.93
Pathein,0,MM,03/14/19,88,16.78,94.73,76.83,6.85
Manaus,40,BR,03/14/19,66,-3.13,-59.98,89.6,5.82
Wanning,75,AT,03/14/19,93,48.64,13.53,39.99,2.24
Georgetown,75,GY,03/14/19,62,6.8,-58.16,89.6,13.87
Liberia,0,CR,03/14/19,30,10.63,-85.44,95.0,12.75
Butaritari,92,KI,03/14/19,100,3.07,172.79,78.9,12.21
Bredasdorp,88,ZA,03/14/19,83,-34.53,20.04,69.8,9.17
Ketchikan,90,US,03/14/19,86,55.34,-131.65,39.2,11.41
Tateyama,48,JP,03/14/19,67,36.66,137.31,39.0,2.93
New Norfolk,40,AU,03/14/19,76,-42.78,147.06,54.0,8.05
Terrace,90,CA,03/14/19,100,54.52,-128.61,37.0,8.05
Valdivia,40,CL,03/14/19,45,-39.81,-73.25,68.0,11.41
Chumikan,56,RU,03/14/19,72,54.72,135.31,12.3,2.71
